machine_type,split,label,machine_id,audio_id
pump,test,anomaly,00,0000
pump,test,anomaly,00,0001
pump,test,anomaly,00,0002
pump,test,anomaly,00,0003
pump,test,anomaly,00,0004
pump,test,anomaly,00,0005
pump,test,anomaly,00,0006
pump,test,anomaly,00,0007
pump,test,anomaly,00,0008
pump,test,anomaly,00,0009
pump,test,anomaly,00,0010
pump,test,anomaly,00,0011
pump,test,anomaly,00,0012
pump,test,anomaly,00,0013
pump,test,anomaly,00,0014
pump,test,anomaly,00,0015
pump,test,anomaly,00,0016
pump,test,anomaly,00,0017
pump,test,anomaly,00,0018
pump,test,anomaly,00,0019
pump,test,anomaly,00,0020
pump,test,anomaly,00,0021
pump,test,anomaly,00,0022
pump,test,anomaly,00,0023
pump,test,anomaly,00,0024
pump,test,anomaly,00,0025
pump,test,anomaly,00,0026
pump,test,anomaly,00,0027
pump,test,anomaly,00,0028
pump,test,anomaly,00,0029
pump,test,anomaly,00,0030
pump,test,anomaly,00,0031
pump,test,anomaly,00,0032
pump,test,anomaly,00,0033
pump,test,anomaly,00,0034
pump,test,anomaly,00,0035
pump,test,anomaly,00,0036
pump,test,anomaly,00,0037
pump,test,anomaly,00,0038
pump,test,anomaly,00,0039
pump,test,anomaly,00,0040
pump,test,anomaly,00,0041
pump,test,anomaly,00,0042
pump,test,anomaly,00,0043
pump,test,anomaly,00,0044
pump,test,anomaly,00,0045
pump,test,anomaly,00,0046
pump,test,anomaly,00,0047
pump,test,anomaly,00,0048
pump,test,anomaly,00,0049
pump,test,anomaly,00,0050
pump,test,anomaly,00,0051
pump,test,anomaly,00,0052
pump,test,anomaly,00,0053
pump,test,anomaly,00,0054
pump,test,anomaly,00,0055
pump,test,anomaly,00,0056
pump,test,anomaly,00,0057
pump,test,anomaly,00,0058
pump,test,anomaly,00,0059
pump,test,anomaly,00,0060
pump,test,anomaly,00,0061
pump,test,anomaly,00,0062
pump,test,anomaly,00,0063
pump,test,anomaly,00,0064
pump,test,anomaly,00,0065
pump,test,anomaly,00,0066
pump,test,anomaly,00,0067
pump,test,anomaly,00,0068
pump,test,anomaly,00,0069
pump,test,anomaly,00,0070
pump,test,anomaly,00,0071
pump,test,anomaly,00,0072
pump,test,anomaly,00,0073
pump,test,anomaly,00,0074
pump,test,anomaly,00,0075
pump,test,anomaly,00,0076
pump,test,anomaly,00,0077
pump,test,anomaly,00,0078
pump,test,anomaly,00,0079
pump,test,anomaly,00,0080
pump,test,anomaly,00,0081
pump,test,anomaly,00,0082
pump,test,anomaly,00,0083
pump,test,anomaly,00,0084
pump,test,anomaly,00,0085
pump,test,anomaly,00,0086
pump,test,anomaly,00,0087
pump,test,anomaly,00,0088
pump,test,anomaly,00,0089
pump,test,anomaly,00,0090
pump,test,anomaly,00,0091
pump,test,anomaly,00,0092
pump,test,anomaly,00,0093
pump,test,anomaly,00,0094
pump,test,anomaly,00,0095
pump,test,anomaly,00,0096
pump,test,anomaly,00,0097
pump,test,anomaly,00,0098
pump,test,anomaly,00,0099
pump,test,anomaly,00,0100
pump,test,anomaly,00,0101
pump,test,anomaly,00,0102
pump,test,anomaly,00,0103
pump,test,anomaly,00,0104
pump,test,anomaly,00,0105
pump,test,anomaly,00,0106
pump,test,anomaly,00,0107
pump,test,anomaly,00,0108
pump,test,anomaly,00,0109
pump,test,anomaly,00,0110
pump,test,anomaly,00,0111
pump,test,anomaly,00,0112
pump,test,anomaly,00,0113
pump,test,anomaly,00,0114
pump,test,anomaly,00,0115
pump,test,anomaly,00,0116
pump,test,anomaly,00,0117
pump,test,anomaly,00,0118
pump,test,anomaly,00,0119
pump,test,anomaly,00,0120
pump,test,anomaly,00,0121
pump,test,anomaly,00,0122
pump,test,anomaly,00,0123
pump,test,anomaly,00,0124
pump,test,anomaly,00,0125
pump,test,anomaly,00,0126
pump,test,anomaly,00,0127
pump,test,anomaly,00,0128
pump,test,anomaly,00,0129
pump,test,anomaly,00,0130
pump,test,anomaly,00,0131
pump,test,anomaly,00,0132
pump,test,anomaly,00,0133
pump,test,anomaly,00,0134
pump,test,anomaly,00,0135
pump,test,anomaly,00,0136
pump,test,anomaly,00,0137
pump,test,anomaly,00,0138
pump,test,anomaly,00,0139
pump,test,anomaly,00,0140
pump,test,anomaly,00,0141
pump,test,anomaly,00,0142
pump,test,anomaly,02,0000
pump,test,anomaly,02,0001
pump,test,anomaly,02,0002
pump,test,anomaly,02,0003
pump,test,anomaly,02,0004
pump,test,anomaly,02,0005
pump,test,anomaly,02,0006
pump,test,anomaly,02,0007
pump,test,anomaly,02,0008
pump,test,anomaly,02,0009
pump,test,anomaly,02,0010
pump,test,anomaly,02,0011
pump,test,anomaly,02,0012
pump,test,anomaly,02,0013
pump,test,anomaly,02,0014
pump,test,anomaly,02,0015
pump,test,anomaly,02,0016
pump,test,anomaly,02,0017
pump,test,anomaly,02,0018
pump,test,anomaly,02,0019
pump,test,anomaly,02,0020
pump,test,anomaly,02,0021
pump,test,anomaly,02,0022
pump,test,anomaly,02,0023
pump,test,anomaly,02,0024
pump,test,anomaly,02,0025
pump,test,anomaly,02,0026
pump,test,anomaly,02,0027
pump,test,anomaly,02,0028
pump,test,anomaly,02,0029
pump,test,anomaly,02,0030
pump,test,anomaly,02,0031
pump,test,anomaly,02,0032
pump,test,anomaly,02,0033
pump,test,anomaly,02,0034
pump,test,anomaly,02,0035
pump,test,anomaly,02,0036
pump,test,anomaly,02,0037
pump,test,anomaly,02,0038
pump,test,anomaly,02,0039
pump,test,anomaly,02,0040
pump,test,anomaly,02,0041
pump,test,anomaly,02,0042
pump,test,anomaly,02,0043
pump,test,anomaly,02,0044
pump,test,anomaly,02,0045
pump,test,anomaly,02,0046
pump,test,anomaly,02,0047
pump,test,anomaly,02,0048
pump,test,anomaly,02,0049
pump,test,anomaly,02,0050
pump,test,anomaly,02,0051
pump,test,anomaly,02,0052
pump,test,anomaly,02,0053
pump,test,anomaly,02,0054
pump,test,anomaly,02,0055
pump,test,anomaly,02,0056
pump,test,anomaly,02,0057
pump,test,anomaly,02,0058
pump,test,anomaly,02,0059
pump,test,anomaly,02,0060
pump,test,anomaly,02,0061
pump,test,anomaly,02,0062
pump,test,anomaly,02,0063
pump,test,anomaly,02,0064
pump,test,anomaly,02,0065
pump,test,anomaly,02,0066
pump,test,anomaly,02,0067
pump,test,anomaly,02,0068
pump,test,anomaly,02,0069
pump,test,anomaly,02,0070
pump,test,anomaly,02,0071
pump,test,anomaly,02,0072
pump,test,anomaly,02,0073
pump,test,anomaly,02,0074
pump,test,anomaly,02,0075
pump,test,anomaly,02,0076
pump,test,anomaly,02,0077
pump,test,anomaly,02,0078
pump,test,anomaly,02,0079
pump,test,anomaly,02,0080
pump,test,anomaly,02,0081
pump,test,anomaly,02,0082
pump,test,anomaly,02,0083
pump,test,anomaly,02,0084
pump,test,anomaly,02,0085
pump,test,anomaly,02,0086
pump,test,anomaly,02,0087
pump,test,anomaly,02,0088
pump,test,anomaly,02,0089
pump,test,anomaly,02,0090
pump,test,anomaly,02,0091
pump,test,anomaly,02,0092
pump,test,anomaly,02,0093
pump,test,anomaly,02,0094
pump,test,anomaly,02,0095
pump,test,anomaly,02,0096
pump,test,anomaly,02,0097
pump,test,anomaly,02,0098
pump,test,anomaly,02,0099
pump,test,anomaly,02,0100
pump,test,anomaly,02,0101
pump,test,anomaly,02,0102
pump,test,anomaly,02,0103
pump,test,anomaly,02,0104
pump,test,anomaly,02,0105
pump,test,anomaly,02,0106
pump,test,anomaly,02,0107
pump,test,anomaly,02,0108
pump,test,anomaly,02,0109
pump,test,anomaly,02,0110
pump,test,anomaly,04,0000
pump,test,anomaly,04,0001
pump,test,anomaly,04,0002
pump,test,anomaly,04,0003
pump,test,anomaly,04,0004
pump,test,anomaly,04,0005
pump,test,anomaly,04,0006
pump,test,anomaly,04,0007
pump,test,anomaly,04,0008
pump,test,anomaly,04,0009
pump,test,anomaly,04,0010
pump,test,anomaly,04,0011
pump,test,anomaly,04,0012
pump,test,anomaly,04,0013
pump,test,anomaly,04,0014
pump,test,anomaly,04,0015
pump,test,anomaly,04,0016
pump,test,anomaly,04,0017
pump,test,anomaly,04,0018
pump,test,anomaly,04,0019
pump,test,anomaly,04,0020
pump,test,anomaly,04,0021
pump,test,anomaly,04,0022
pump,test,anomaly,04,0023
pump,test,anomaly,04,0024
pump,test,anomaly,04,0025
pump,test,anomaly,04,0026
pump,test,anomaly,04,0027
pump,test,anomaly,04,0028
pump,test,anomaly,04,0029
pump,test,anomaly,04,0030
pump,test,anomaly,04,0031
pump,test,anomaly,04,0032
pump,test,anomaly,04,0033
pump,test,anomaly,04,0034
pump,test,anomaly,04,0035
pump,test,anomaly,04,0036
pump,test,anomaly,04,0037
pump,test,anomaly,04,0038
pump,test,anomaly,04,0039
pump,test,anomaly,04,0040
pump,test,anomaly,04,0041
pump,test,anomaly,04,0042
pump,test,anomaly,04,0043
pump,test,anomaly,04,0044
pump,test,anomaly,04,0045
pump,test,anomaly,04,0046
pump,test,anomaly,04,0047
pump,test,anomaly,04,0048
pump,test,anomaly,04,0049
pump,test,anomaly,04,0050
pump,test,anomaly,04,0051
pump,test,anomaly,04,0052
pump,test,anomaly,04,0053
pump,test,anomaly,04,0054
pump,test,anomaly,04,0055
pump,test,anomaly,04,0056
pump,test,anomaly,04,0057
pump,test,anomaly,04,0058
pump,test,anomaly,04,0059
pump,test,anomaly,04,0060
pump,test,anomaly,04,0061
pump,test,anomaly,04,0062
pump,test,anomaly,04,0063
pump,test,anomaly,04,0064
pump,test,anomaly,04,0065
pump,test,anomaly,04,0066
pump,test,anomaly,04,0067
pump,test,anomaly,04,0068
pump,test,anomaly,04,0069
pump,test,anomaly,04,0070
pump,test,anomaly,04,0071
pump,test,anomaly,04,0072
pump,test,anomaly,04,0073
pump,test,anomaly,04,0074
pump,test,anomaly,04,0075
pump,test,anomaly,04,0076
pump,test,anomaly,04,0077
pump,test,anomaly,04,0078
pump,test,anomaly,04,0079
pump,test,anomaly,04,0080
pump,test,anomaly,04,0081
pump,test,anomaly,04,0082
pump,test,anomaly,04,0083
pump,test,anomaly,04,0084
pump,test,anomaly,04,0085
pump,test,anomaly,04,0086
pump,test,anomaly,04,0087
pump,test,anomaly,04,0088
pump,test,anomaly,04,0089
pump,test,anomaly,04,0090
pump,test,anomaly,04,0091
pump,test,anomaly,04,0092
pump,test,anomaly,04,0093
pump,test,anomaly,04,0094
pump,test,anomaly,04,0095
pump,test,anomaly,04,0096
pump,test,anomaly,04,0097
pump,test,anomaly,04,0098
pump,test,anomaly,04,0099
pump,test,anomaly,06,0000
pump,test,anomaly,06,0001
pump,test,anomaly,06,0002
pump,test,anomaly,06,0003
pump,test,anomaly,06,0004
pump,test,anomaly,06,0005
pump,test,anomaly,06,0006
pump,test,anomaly,06,0007
pump,test,anomaly,06,0008
pump,test,anomaly,06,0009
pump,test,anomaly,06,0010
pump,test,anomaly,06,0011
pump,test,anomaly,06,0012
pump,test,anomaly,06,0013
pump,test,anomaly,06,0014
pump,test,anomaly,06,0015
pump,test,anomaly,06,0016
pump,test,anomaly,06,0017
pump,test,anomaly,06,0018
pump,test,anomaly,06,0019
pump,test,anomaly,06,0020
pump,test,anomaly,06,0021
pump,test,anomaly,06,0022
pump,test,anomaly,06,0023
pump,test,anomaly,06,0024
pump,test,anomaly,06,0025
pump,test,anomaly,06,0026
pump,test,anomaly,06,0027
pump,test,anomaly,06,0028
pump,test,anomaly,06,0029
pump,test,anomaly,06,0030
pump,test,anomaly,06,0031
pump,test,anomaly,06,0032
pump,test,anomaly,06,0033
pump,test,anomaly,06,0034
pump,test,anomaly,06,0035
pump,test,anomaly,06,0036
pump,test,anomaly,06,0037
pump,test,anomaly,06,0038
pump,test,anomaly,06,0039
pump,test,anomaly,06,0040
pump,test,anomaly,06,0041
pump,test,anomaly,06,0042
pump,test,anomaly,06,0043
pump,test,anomaly,06,0044
pump,test,anomaly,06,0045
pump,test,anomaly,06,0046
pump,test,anomaly,06,0047
pump,test,anomaly,06,0048
pump,test,anomaly,06,0049
pump,test,anomaly,06,0050
pump,test,anomaly,06,0051
pump,test,anomaly,06,0052
pump,test,anomaly,06,0053
pump,test,anomaly,06,0054
pump,test,anomaly,06,0055
pump,test,anomaly,06,0056
pump,test,anomaly,06,0057
pump,test,anomaly,06,0058
pump,test,anomaly,06,0059
pump,test,anomaly,06,0060
pump,test,anomaly,06,0061
pump,test,anomaly,06,0062
pump,test,anomaly,06,0063
pump,test,anomaly,06,0064
pump,test,anomaly,06,0065
pump,test,anomaly,06,0066
pump,test,anomaly,06,0067
pump,test,anomaly,06,0068
pump,test,anomaly,06,0069
pump,test,anomaly,06,0070
pump,test,anomaly,06,0071
pump,test,anomaly,06,0072
pump,test,anomaly,06,0073
